time_s,time_min,current_a,voltage_v,power_w,soc_percent,soh_percent,temperature_c,fan_status,protection_active,cycle_count,warnings
0,0.0,2.0,15.617102407225277,31.234204814450553,79.9888888888889,99.99999722222222,25.00042352942353,0,0,5.555555555555556e-05,Normal
1,0.016666666666666666,2.0,15.616647749648578,31.233295499297157,79.97777777746914,99.99999444444444,25.000846161972984,0,0,0.00011111111111111112,Normal
2,0.03333333333333333,2.0,15.61619307772152,31.23238615544304,79.96666666574075,99.99999166666666,25.001267899547628,0,0,0.0001666666666666667,Normal
3,0.05,2.0,15.61573839143722,31.23147678287444,79.9555555537037,99.99998888888888,25.001688744042703,0,0,0.00022222222222222223,Normal
4,0.06666666666666667,2.0,15.615283690788807,31.230567381577615,79.94444444135803,99.9999861111111,25.002108697349435,0,0,0.0002777777777777778,Normal
5,0.08333333333333333,2.0,15.614828975769399,31.229657951538798,79.93333332870371,99.99998333333332,25.002527761355047,0,0,0.0003333333333333333,Normal
6,0.1,2.0,15.614374246372126,31.228748492744252,79.92222221574075,99.99998055555554,25.002945937942766,0,0,0.00038888888888888887,Normal
7,0.11666666666666667,2.0,15.613919502590116,31.227839005180233,79.91111110246914,99.99997777777776,25.003363228991827,0,0,0.0004444444444444444,Normal
8,0.13333333333333333,2.0,15.613464744416499,31.226929488832997,79.8999999888889,99.99997499999998,25.00377963637749,0,0,0.0005,Normal
9,0.15,2.0,15.613009971844404,31.226019943688808,79.888888875,99.9999722222222,25.004195161971044,0,0,0.0005555555555555556,Normal
10,0.16666666666666666,2.0,15.612555184866968,31.225110369733937,79.87777776080247,99.99996944444442,25.00460980763981,0,0,0.0006111111111111111,Normal
11,0.18333333333333332,2.0,15.61210038347733,31.22420076695466,79.8666666462963,99.99996666666664,25.00502357524716,0,0,0.0006666666666666666,Normal
12,0.2,2.0,15.611645567668615,31.22329113533723,79.85555553148149,99.99996388888886,25.00543646665252,0,0,0.0007222222222222222,Normal
13,0.21666666666666667,2.0,15.611190737433974,31.222381474867948,79.84444441635803,99.99996111111108,25.00584848371137,0,0,0.0007777777777777777,Normal
14,0.23333333333333334,2.0,15.61073589276654,31.22147178553308,79.83333330092593,99.9999583333333,25.006259628275277,0,0,0.0008333333333333333,Normal
15,0.25,2.0,15.61028103365946,31.22056206731892,79.82222218518518,99.99995555555552,25.00666990219187,0,0,0.0008888888888888888,Normal
16,0.26666666666666666,2.0,15.609826160105873,31.219652320211747,79.81111106913579,99.99995277777774,25.007079307304874,0,0,0.0009444444444444444,Normal
17,0.2833333333333333,2.0,15.609371272098928,31.218742544197855,79.79999995277777,99.99994999999996,25.00748784545411,0,0,0.001,Normal
18,0.3,2.0,15.608916369631773,31.217832739263546,79.7888888361111,99.99994722222218,25.007895518475504,0,0,0.0010555555555555557,Normal
19,0.31666666666666665,2.0,15.608461452697554,31.21692290539511,79.77777771913578,99.9999444444444,25.008302328201086,0,0,0.0011111111111111113,Normal
20,0.3333333333333333,2.0,15.608006521289429,31.216013042578858,79.76666660185182,99.99994166666661,25.008708276459014,0,0,0.001166666666666667,Normal
21,0.35,2.0,15.607551575400544,31.215103150801088,79.75555548425923,99.99993888888883,25.00911336507357,0,0,0.0012222222222222226,Normal
22,0.36666666666666664,2.0,15.607096615024053,31.214193230048107,79.744444366358,99.99993611111105,25.00951759586518,0,0,0.0012777777777777783,Normal
23,0.38333333333333336,2.0,15.606641640153118,31.213283280306236,79.73333324814811,99.99993333333327,25.009920970650406,0,0,0.001333333333333334,Normal
24,0.4,2.0,15.606186650780895,31.21237330156179,79.72222212962959,99.9999305555555,25.01032349124197,0,0,0.0013888888888888896,Normal
25,0.4166666666666667,2.0,15.605731646900542,31.211463293801085,79.71111101080243,99.99992777777771,25.01072515944875,0,0,0.0014444444444444452,Normal
26,0.43333333333333335,2.0,15.60527662850522,31.21055325701044,79.69999989166662,99.99992499999993,25.0111259770758,0,0,0.001500000000000001,Normal
27,0.45,2.0,15.604821595588094,31.209643191176188,79.68888877222217,99.99992222222215,25.011525945924344,0,0,0.0015555555555555566,Normal
28,0.4666666666666667,2.0,15.604366548142334,31.208733096284668,79.67777765246908,99.99991944444437,25.011925067791797,0,0,0.0016111111111111122,Normal
29,0.48333333333333334,2.0,15.603911486161099,31.207822972322198,79.66666653240733,99.99991666666659,25.012323344471767,0,0,0.0016666666666666679,Normal
30,0.5,2.0,15.603456409637559,31.206912819275118,79.65555541203696,99.99991388888881,25.012720777754062,0,0,0.0017222222222222235,Normal
31,0.5166666666666667,2.0,15.603001318564889,31.206002637129778,79.64444429135794,99.99991111111103,25.0131173694247,0,0,0.0017777777777777792,Normal
32,0.5333333333333333,2.0,15.602546212936257,31.205092425872515,79.63333317037028,99.99990833333325,25.01351312126592,0,0,0.0018333333333333348,Normal
33,0.55,2.0,15.60209109274484,31.20418218548968,79.62222204907397,99.99990555555547,25.01390803505618,0,0,0.0018888888888888905,Normal
34,0.5666666666666667,2.0,15.601635957983811,31.203271915967623,79.61111092746901,99.99990277777769,25.014302112570178,0,0,0.0019444444444444461,Normal
35,0.5833333333333334,2.0,15.601180808646353,31.202361617292706,79.59999980555543,99.99989999999991,25.01469535557885,0,0,0.0020000000000000018,Normal
36,0.6,2.0,15.600725644725637,31.201451289451274,79.5888886833332,99.99989722222213,25.01508776584939,0,0,0.0020555555555555574,Normal
37,0.6166666666666667,2.0,15.600270466214852,31.200540932429703,79.57777756080232,99.99989444444435,25.015479345145238,0,0,0.002111111111111113,Normal
38,0.6333333333333333,2.0,15.599815273107174,31.199630546214348,79.5666664379628,99.99989166666657,25.015870095226106,0,0,0.0021666666666666687,Normal
39,0.65,2.0,15.599360065395793,31.198720130791585,79.55555531481464,99.99988888888879,25.01626001784798,0,0,0.0022222222222222244,Normal
40,0.6666666666666666,2.0,15.59890484307389,31.19780968614778,79.54444419135784,99.99988611111101,25.016649114763126,0,0,0.00227777777777778,Normal
41,0.6833333333333333,2.0,15.598449606134661,31.196899212269322,79.5333330675924,99.99988333333323,25.017037387720098,0,0,0.0023333333333333357,Normal
42,0.7,2.0,15.597994354571291,31.195988709142583,79.5222219435183,99.99988055555545,25.01742483846375,0,0,0.0023888888888888913,Normal
43,0.7166666666666667,2.0,15.59753908837697,31.19507817675394,79.51111081913557,99.99987777777767,25.01781146873524,0,0,0.002444444444444447,Normal
44,0.7333333333333333,2.0,15.597083807544895,31.19416761508979,79.4999996944442,99.99987499999989,25.018197280272034,0,0,0.0025000000000000027,Normal
45,0.75,2.0,15.596628512068259,31.193257024136518,79.48888856944419,99.99987222222211,25.01858227480793,0,0,0.0025555555555555583,Normal
46,0.7666666666666667,2.0,15.596173201940262,31.192346403880524,79.47777744413553,99.99986944444433,25.01896645407304,0,0,0.002611111111111114,Normal
47,0.7833333333333333,2.0,15.595717877154103,31.191435754308205,79.46666631851822,99.99986666666655,25.019349819793828,0,0,0.0026666666666666696,Normal
48,0.8,2.0,15.595262537702977,31.190525075405954,79.45555519259227,99.99986388888877,25.01973237369309,0,0,0.0027222222222222253,Normal
49,0.8166666666666667,2.0,15.594807183580093,31.189614367160186,79.44444406635769,99.99986111111099,25.020114117489975,0,0,0.002777777777777781,Normal
50,0.8333333333333334,2.0,15.594351814778651,31.188703629557303,79.43333293981446,99.99985833333321,25.020495052899996,0,0,0.0028333333333333366,Normal
51,0.85,2.0,15.59389643129186,31.18779286258372,79.42222181296259,99.99985555555543,25.02087518163503,0,0,0.0028888888888888922,Normal
